,Unnamed: 0,Map Name,Matchup,patch,Wins,Losses,Games,win_perc,loss_perc,pillar_label
58,21,Abyssal Reef LE,PvZ,3.14,7936,7655,15591,0.509,0.491,No pillar
59,28,Abyssal Reef LE,TvZ,3.14,10882,11143,22025,0.4941,0.5059,No pillar
60,42,Acolyte LE,PvT,3.14,4756,4747,9503,0.5005,0.4995,Pillar can see natural entrance
61,43,Acolyte LE,PvZ,3.14,4976,4265,9241,0.5385,0.4615,Pillar can see natural entrance
62,44,Acolyte LE,TvZ,3.14,6361,5466,11827,0.5378,0.4622,Pillar can see natural entrance
63,52,Ascension to Aiur LE,PvT,3.14,9463,8666,18129,0.522,0.478,Pillar cannot see natural entrance
64,57,Ascension to Aiur LE,PvZ,3.14,9702,9990,19692,0.4927,0.5073,Pillar cannot see natural entrance
65,62,Ascension to Aiur LE,TvZ,3.14,11601,13792,25393,0.4569,0.5431,Pillar cannot see natural entrance
66,112,Blood Boil LE,PvT,3.14,1233,1284,2517,0.4899,0.5101,Pillar can see natural entrance
67,114,Blood Boil LE,PvZ,3.14,1281,1162,2443,0.5244,0.4756,Pillar can see natural entrance
68,116,Blood Boil LE,TvZ,3.14,2130,1824,3954,0.5387,0.4613,Pillar can see natural entrance
69,129,Catallena LE (Void),PvT,3.14,2656,2965,5621,0.4725,0.5275,Pillar can see natural entrance
70,130,Catallena LE (Void),PvZ,3.14,2612,2827,5439,0.4802,0.5198,Pillar can see natural entrance
71,131,Catallena LE (Void),TvZ,3.14,4360,4072,8432,0.5171,0.4829,Pillar can see natural entrance
72,172,Defender's Landing LE,PvT,3.14,1432,1497,2929,0.4889,0.5111,Pillar can see natural entrance
73,174,Defender's Landing LE,PvZ,3.14,1331,1643,2974,0.4475,0.5525,Pillar can see natural entrance
74,176,Defender's Landing LE,TvZ,3.14,2589,2982,5571,0.4647,0.5353,Pillar can see natural entrance
75,243,Interloper LE,PvT,3.14,5431,5257,10688,0.5081,0.4919,Pillar can see natural entrance
76,244,Interloper LE,PvZ,3.14,5055,4925,9980,0.5065,0.4935,Pillar can see natural entrance
77,245,Interloper LE,TvZ,3.14,6843,6953,13796,0.496,0.504,Pillar can see natural entrance
78,273,Mech Depot LE,PvT,3.14,4747,4345,9092,0.5221,0.4779,No pillar
79,274,Mech Depot LE,PvZ,3.14,4967,5148,10115,0.4911,0.5089,No pillar
80,275,Mech Depot LE,TvZ,3.14,6448,7084,13532,0.4765,0.5235,No pillar
81,316,Odyssey LE,PvT,3.14,9029,8374,17403,0.5188,0.4812,Pillar can see natural entrance
82,321,Odyssey LE,PvZ,3.14,9541,9623,19164,0.4979,0.5021,Pillar can see natural entrance
83,326,Odyssey LE,TvZ,3.14,11551,13025,24576,0.47,0.53,Pillar can see natural entrance
84,362,Proxima Station LE,PvT,3.14,2328,2320,4648,0.5009,0.4991,Pillar can see natural entrance
85,366,Proxima Station LE,PvZ,3.14,2198,1945,4143,0.5305,0.4695,Pillar can see natural entrance
86,370,Proxima Station LE,TvZ,3.14,2900,2451,5351,0.542,0.458,Pillar can see natural entrance
87,382,Sequencer LE,PvT,3.14,1682,1681,3363,0.5001,0.4999,Pillar can see natural entrance
88,384,Sequencer LE,PvZ,3.14,1872,1861,3733,0.5015,0.4985,Pillar can see natural entrance
89,386,Sequencer LE,TvZ,3.14,2167,2289,4456,0.4863,0.5137,Pillar can see natural entrance
90,15,Abyssal Reef LE,PvT,3.8,2019,2089,4108,0.4915,0.5085,No pillar
91,22,Abyssal Reef LE,PvZ,3.8,2090,2125,4215,0.4958,0.5042,No pillar
92,29,Abyssal Reef LE,TvZ,3.8,3000,3365,6365,0.4713,0.5287,No pillar
93,89,Bel'Shir Vestige LE (Void),PvT,3.8,1975,1841,3816,0.5176,0.4824,Pillar can see natural entrance
94,92,Bel'Shir Vestige LE (Void),PvZ,3.8,1713,1882,3595,0.4765,0.5235,Pillar can see natural entrance
95,95,Bel'Shir Vestige LE (Void),TvZ,3.8,2640,3010,5650,0.4673,0.5327,Pillar can see natural entrance
96,122,Cactus Valley LE (Void),PvT,3.8,1757,1806,3563,0.4931,0.5069,Pillar can see natural entrance
97,125,Cactus Valley LE (Void),PvZ,3.8,1863,1863,3726,0.5,0.5,Pillar can see natural entrance
98,128,Cactus Valley LE (Void),TvZ,3.8,2448,2851,5299,0.462,0.538,Pillar can see natural entrance
99,162,Daybreak LE (Void),PvT,3.8,910,967,1877,0.4848,0.5152,No pillar
100,163,Daybreak LE (Void),PvZ,3.8,896,950,1846,0.4854,0.5146,No pillar
101,164,Daybreak LE (Void),TvZ,3.8,1568,1745,3313,0.4733,0.5267,No pillar
102,192,Echo LE (Void),PvT,3.8,1123,1205,2328,0.4824,0.5176,Pillar cannot see natural entrance
103,193,Echo LE (Void),PvZ,3.8,1113,1040,2153,0.517,0.483,Pillar cannot see natural entrance
104,194,Echo LE (Void),TvZ,3.8,1623,1632,3255,0.4986,0.5014,Pillar cannot see natural entrance
105,225,Habitation Station LE (Void),PvT,3.8,994,903,1897,0.524,0.476,Pillar can see natural entrance
106,226,Habitation Station LE (Void),PvZ,3.8,982,1017,1999,0.4912,0.5088,Pillar can see natural entrance
107,227,Habitation Station LE (Void),TvZ,3.8,1243,1415,2658,0.4676,0.5324,Pillar can see natural entrance
108,230,Honorgrounds LE,PvT,3.8,1330,1410,2740,0.4854,0.5146,Pillar can see natural entrance
109,233,Honorgrounds LE,PvZ,3.8,1473,1553,3026,0.4868,0.5132,Pillar can see natural entrance
110,236,Honorgrounds LE,TvZ,3.8,1995,1905,3900,0.5115,0.4885,Pillar can see natural entrance
111,302,Newkirk Precinct TE (Void),PvT,3.8,3533,3372,6905,0.5117,0.4883,Pillar cannot see natural entrance
112,305,Newkirk Precinct TE (Void),PvZ,3.8,3202,3215,6417,0.499,0.501,Pillar cannot see natural entrance
113,308,Newkirk Precinct TE (Void),TvZ,3.8,4899,4841,9740,0.503,0.497,Pillar cannot see natural entrance
114,330,Overgrowth LE (Void),PvT,3.8,1234,1277,2511,0.4914,0.5086,Pillar can see natural entrance
115,331,Overgrowth LE (Void),PvZ,3.8,1228,1283,2511,0.489,0.511,Pillar can see natural entrance
116,332,Overgrowth LE (Void),TvZ,3.8,1765,2069,3834,0.4604,0.5396,Pillar can see natural entrance
117,338,Paladino Terminal LE,PvT,3.8,1625,1775,3400,0.4779,0.5221,Pillar can see natural entrance
118,341,Paladino Terminal LE,PvZ,3.8,1518,1787,3305,0.4593,0.5407,Pillar can see natural entrance
119,344,Paladino Terminal LE,TvZ,3.8,2743,2973,5716,0.4799,0.5201,Pillar can see natural entrance
120,363,Proxima Station LE,PvT,3.8,2042,2021,4063,0.5026,0.4974,Pillar can see natural entrance
121,367,Proxima Station LE,PvZ,3.8,1913,1808,3721,0.5141,0.4859,Pillar can see natural entrance
122,371,Proxima Station LE,TvZ,3.8,2962,2639,5601,0.5288,0.4712,Pillar can see natural entrance
123,420,Vaani Research Station (Void),PvT,3.8,950,1131,2081,0.4565,0.5435,No pillar
